"zone","mean","max","min","sd"
304,NA,-Inf,Inf,NA
562,0.927852928638458,0.964486956596375,0.891218900680542,0.0518083391824403
563,0.877729952335358,0.897809863090515,0.8576500415802,0.0283972821211851
564,0.991160154342651,0.991160154342651,0.991160154342651,NA
565,NA,-Inf,Inf,NA
566,0.97709059715271,0.997446656227112,0.956734538078308,0.028787814819487
567,0.966716438531876,0.987323403358459,0.946109473705292,0.0291426491371002
568,NA,-Inf,Inf,NA
569,0.974893450737,0.974893450737,0.974893450737,NA
570,0.953022599220276,0.979258835315704,0.926786363124847,0.0371036409117775
571,0.945710260134477,0.995738625526428,0.812781512737274,0.0628840859996426
572,NA,-Inf,Inf,NA
573,0.960209812436785,0.983145236968994,0.915618419647217,0.0285546162036032
575,0.902231356765415,0.999152481555939,0.0124095696955919,0.193149779049259
576,0.84340764110611,0.998035609722137,0.00167372764553875,0.207715723589724
577,0.873809855048986,0.999355316162109,0.068182073533535,0.188897055712991
578,0.981814067074464,0.999931812286377,0.538342833518982,0.0397012418586787
579,0.863342163668479,0.999840080738068,0.0239276923239231,0.212241682303465
580,0.436315937956252,0.954702913761139,0.0272494442760944,0.272875567370126
622,NA,-Inf,Inf,NA
623,NA,-Inf,Inf,NA
624,NA,-Inf,Inf,NA
625,NA,-Inf,Inf,NA
626,NA,-Inf,Inf,NA
627,NA,-Inf,Inf,NA
628,NA,-Inf,Inf,NA
629,NA,-Inf,Inf,NA
630,NA,-Inf,Inf,NA
631,NA,-Inf,Inf,NA
632,NA,-Inf,Inf,NA
633,NA,-Inf,Inf,NA
634,NA,-Inf,Inf,NA
635,NA,-Inf,Inf,NA
636,NA,-Inf,Inf,NA
637,NA,-Inf,Inf,NA
638,NA,-Inf,Inf,NA
639,NA,-Inf,Inf,NA
640,NA,-Inf,Inf,NA
641,NA,-Inf,Inf,NA
791,NA,-Inf,Inf,NA
792,NA,-Inf,Inf,NA
805,NA,-Inf,Inf,NA
811,NA,-Inf,Inf,NA
897,NA,-Inf,Inf,NA
902,NA,-Inf,Inf,NA
919,NA,-Inf,Inf,NA
924,NA,-Inf,Inf,NA
928,NA,-Inf,Inf,NA
929,0.55551499063556,0.991818249225616,0.00228404277004302,0.308914357284473
978,NA,-Inf,Inf,NA
1002,NA,-Inf,Inf,NA
1044,0.977813601493835,0.977813601493835,0.977813601493835,NA
1087,0.994395792484283,0.994395792484283,0.994395792484283,NA
1161,NA,-Inf,Inf,NA
1184,0.840168356895447,0.840168356895447,0.840168356895447,NA
1200,0.997616529464722,0.997616529464722,0.997616529464722,NA
1278,NA,-Inf,Inf,NA
1418,NA,-Inf,Inf,NA
1426,NA,-Inf,Inf,NA
1484,NA,-Inf,Inf,NA
1485,0.965034517737973,0.999980270862579,0.14612141251564,0.0676827544315211
1487,0.520437426550032,0.9903764128685,0.0238307882100344,0.269554072755105
1488,NA,-Inf,Inf,NA
1489,0.990687308460474,0.999256610870361,0.921432316303253,0.00974659434218641
1490,0.819535682929887,0.997439801692963,0.102174863219261,0.185094219860046
1491,0.990731945560839,0.999985635280609,0.482485979795456,0.0267856368666462
1492,0.961873114565391,0.999180316925049,0.259858846664429,0.0490456875920627
1493,0.559475595442357,0.989995181560516,0.00411662505939603,0.292384900500085
1494,0.840787088540139,0.998683571815491,0.00628373492509127,0.203348565915252
1495,0.150993981848247,0.972546756267548,3.9027894672472e-05,0.269517808495729
1496,NA,-Inf,Inf,NA
1498,0.959820937953161,0.999911069869995,0.111956350505352,0.0818246855633191
1500,0.772466658241883,0.997691452503204,0.0202691331505775,0.22822827752356
1501,0.507739410983807,0.971002042293549,0.0111449426040053,0.271279120485214
1502,0.944899897307879,0.99701339006424,0.392081916332245,0.0642026410231823
1503,0.497740346334707,0.914385974407196,0.00717112515121698,0.226985870805154
1504,0.979792709988713,0.999964594841003,0.298098117113113,0.048926867583182
1505,0.954813316052486,0.998723924160004,0.172728031873703,0.0744861617354703
1506,0.96316473089392,0.999929666519165,0.285176455974579,0.0641306830448925
1507,NA,-Inf,Inf,NA
1508,0.696826901005936,0.998371839523315,0.000182324220077135,0.329834198069638
1509,0.906885211180717,0.993559122085571,0.16699855029583,0.131370360220715
1511,0.960990151366094,0.999918937683105,0.00723349815234542,0.15920176551382
1539,NA,-Inf,Inf,NA
1540,0.66166484125269,0.997617781162262,0.054387241601944,0.225978819398016
1541,0.11080101385452,0.582725048065186,0.000624418898951262,0.0965593104291382
1543,0.132803516749451,0.739633083343506,0.000319390761433169,0.112763918753262
1544,0.559091629342474,0.99076646566391,0.00429325783625245,0.328775094239475
1545,NA,-Inf,Inf,NA
1546,NA,-Inf,Inf,NA
1547,0.582453374613504,0.992864489555359,0.0194628778845072,0.218775019081743
1548,0.90297586616232,0.999963283538818,0.0186086054891348,0.115295046531322
1549,0.257439418789721,0.843983471393585,0.00561506161466241,0.174642364007489
1550,0.578700730797389,0.999077200889587,0.000791482045315206,0.282698917830903
1551,0.625359935511486,0.995972156524658,0.00353970611467957,0.249572620757363
1552,0.263425272094552,0.811981558799744,0.00258421944454312,0.156773345652506
1553,NA,-Inf,Inf,NA
1555,0.99951434135437,0.99951434135437,0.99951434135437,NA
1556,NA,-Inf,Inf,NA
1558,NA,-Inf,Inf,NA
1559,0.861228726321667,0.999890804290771,0.0127493403851986,0.16410199939808
1562,0.3923538977516,0.936574637889862,0.000330351729644462,0.257445997191003
1563,NA,-Inf,Inf,NA
1564,0.0883872877380036,0.599512696266174,0.00762774702161551,0.11868435601265
1565,0.508682285506411,0.959280252456665,0.0185158662497997,0.210959616756035
1566,0.321168779307327,0.788623988628387,0.0263510644435883,0.19610864889
1567,0.321552711580956,0.783514380455017,0.0224505010992289,0.177589900643858
1568,0.0781072698841668,0.641938269138336,0.0124861216172576,0.0798628326183649
1570,NA,-Inf,Inf,NA
1571,0.244875462311837,0.832031726837158,0.00820450764149427,0.189916294328526
1572,0.324191306474553,0.901415705680847,0.00337162869982421,0.274964240969072
1573,0.566951224164477,0.916337430477142,0.113017521798611,0.19656552120858
1575,0.588531752152798,0.897847592830658,0.0153171978890896,0.217778178644458
1576,0.0479882159020479,0.24092423915863,0.00202403450384736,0.0348029006582761
1577,0.52178923991114,0.967631220817566,0.0414562299847603,0.220222187613052
1579,NA,-Inf,Inf,NA
1580,NA,-Inf,Inf,NA
1581,0.533011471169938,0.981308400630951,0.0837289914488792,0.20198827456589
1585,NA,-Inf,Inf,NA
1587,0.866504430770874,0.866504430770874,0.866504430770874,NA
1590,NA,-Inf,Inf,NA
1632,NA,-Inf,Inf,NA
1654,NA,-Inf,Inf,NA
1666,0.999554872512817,0.999554872512817,0.999554872512817,NA
1672,0.761001467704773,0.761001467704773,0.761001467704773,NA
1698,0.937118828296661,0.937118828296661,0.937118828296661,NA
1718,NA,-Inf,Inf,NA
1726,NA,-Inf,Inf,NA
1741,0.318092238157988,0.578303217887878,0.176423698663712,0.10948700419415
1742,0.32704624089967,0.939826011657715,0.0853447988629341,0.196742001482979
1743,0.328509803431898,0.985756158828735,0.0523949600756168,0.232138549306336
1744,0.443664222955704,0.504107534885406,0.383220911026001,0.0854797514857331
1745,0.59688987582922,0.956382155418396,0.159036099910736,0.285784399004653
1753,NA,-Inf,Inf,NA
1754,NA,-Inf,Inf,NA
1759,NA,-Inf,Inf,NA
1760,NA,-Inf,Inf,NA
